point_of_sale_id,drug_manufacturer_id,vendor_id,potencial_total,gasto_oportunidad,gasto_actual,status,valor_negocio,ahorro_total,client_id,client_name,pos_name,manufacturer_name
721,10267,1150,849.2744,1997.77,14061.31,1,0.4246372,1148.4955859375,315,Santa Teresa,Oriente 229,Grupo Privarez
721,10269,1152,1724.61,4056.88,4852.61,1,0.862305,2332.2700146484376,315,Santa Teresa,Oriente 229,Farmaceuticos Tenorio
721,10270,1153,478.0,1019.61,1019.61,1,0.239,541.61,315,Santa Teresa,Oriente 229,SUMFA
721,10273,1156,18076.99,25794.52,58101.77,1,9.038495,7717.529765625,315,Santa Teresa,Oriente 229,Almacen de Drogas
721,10278,1161,1498.9288,3499.04,16402.3,,0.7494644,2000.1111669921875,315,Santa Teresa,Oriente 229,Jeshua Medic
721,10281,1164,2653.6997,5114.49,10147.3,,1.3268498,2460.79029296875,315,Santa Teresa,Oriente 229,Farmadepot
721,10479,1275,5421.2,9975.630000000001,19405.62,1,2.7106,4554.429804687501,315,Santa Teresa,Oriente 229,Aurosant Productos Farmaceutico
721,10637,1309,1819.9299,4616.49,10044.19,,0.909965,2796.560068359375,315,Santa Teresa,Oriente 229,Medicinas Rosario
721,10738,1350,1525.07,3566.16,21511.07,,0.7625349,2041.0900537109374,315,Santa Teresa,Oriente 229,Pharmaceutix
721,10761,1358,2206.8838,4879.6,9595.8,1,1.103442,2672.7162109375004,315,Santa Teresa,Oriente 229,Dilopsan
721,11087,1612,106.37634,134.13,617.87,,0.05318817,27.753657226562495,315,Santa Teresa,Oriente 229,MERCFARMA
721,11208,1762,2020.4846,4791.65,26654.9,,1.0102423,2771.1653808593746,315,Santa Teresa,Oriente 229,Distribuidora Grupo Farmacos y Abarrotes Padilla
722,10267,1150,776.3172,3144.04,12121.56,1,0.3881586,2367.7228002929687,315,Santa Teresa,Churubusco,Grupo Privarez
722,10269,1152,3409.5,9056.69,11222.88,1,1.7047501,5647.1900000000005,315,Santa Teresa,Churubusco,Farmaceuticos Tenorio
722,10270,1153,998.0,2158.21,2388.67,1,0.499,1160.21,315,Santa Teresa,Churubusco,SUMFA
722,10273,1156,9553.2295,23768.12,50014.87,0,4.7766147,14214.890507812499,315,Santa Teresa,Churubusco,Almacen de Drogas
722,10278,1161,1151.072,3395.52,12983.75,,0.575536,2244.447978515625,315,Santa Teresa,Churubusco,Jeshua Medic
