pos_id,pos_name,client_name
4,Gran Ferrari,La Santé
14,Patricios,La Santé
15,Lupo,La Santé
16,Perdriel,La Santé
17,Barcelona,La Santé
18,Rivadavia,La Santé
19,La Nobleza,La Santé
20,Sanfar,La Santé
21,Devoto,La Santé
22,Salguero,La Santé
23,Las Heras,La Santé
5,Extendeal phasadad,Extendeal Demo
10,Farmacia Flores,Extendeal Demo
11,Extendeal Prueba 3,Extendeal Demo
12,Extendeal Prueba 4,Extendeal Demo
13,Extendeal Pharma prueba,Extendeal Demo
29,QA Extendeal,Extendeal Demo
149,Extendeal prueba 5,Extendeal Demo
274,Extendeal - Demo Zetti,Extendeal Demo
376,De prueba,Extendeal Demo
391,Sala,Extendeal Demo
428,Pepito,Extendeal Demo
655,Farmacia Teo,Extendeal Demo
660,Farmacia Guido,Extendeal Demo
711,Extendeal Prueba 3 - 132,Extendeal Demo
736,De prueba - No medicinales,Extendeal Demo
750,Extendeal - Demo Zetti - Medicinales,Extendeal Demo
877,ssaSsahksahjskjahskjahskjahskhaskjh,Extendeal Demo
1062,Farmacia Teo - Pelotes,Extendeal Demo
1277,ssaSsahksahjskjahskjahskjahskhaskjh - osvaldo,Extendeal Demo
1396,Punto de venta de Juan,Extendeal Demo
1406,Punto de venta de Juan,Extendeal Demo
1410,Punto farmacia,Extendeal Demo
1631,Farmacia de genéricos,Extendeal Demo
1635,PDV de Juan,Extendeal Demo
1989,Viernes20240816,Extendeal Demo
1990,Viernes20240816_2,Extendeal Demo
1991,Viernes20240816_3,Extendeal Demo
2141,Solo off -QA (no modificar),Extendeal Demo
2356,Sofi,Extendeal Demo
2357,Sofi 2,Extendeal Demo
2358,Sofi 3,Extendeal Demo
2359,Sofi 4,Extendeal Demo
2800,QA Extendeal Duplicado,Extendeal Demo
3131,Exty+EX9038,Extendeal Demo
24,Marina,Farmacias Marina
25,Rivadavia,Farmacias Marina
26,Farmastore,Farmastore
27,Orien Rural,Openfarma
28,Gran Contemporánea S.A.,Openfarma
35,Torcuato,Openfarma
36,Salud y belleza,Openfarma
37,Perles,Openfarma
38,San Telmo salud,Openfarma
39,Martinez,Openfarma
40,Orien,Openfarma
41,Alfaro S.C.S.,Openfarma
42,Orien Finochietto,Openfarma
43,Farmapoint S.C.S.,Openfarma
44,Daflo,Openfarma
45,Bikaner,Openfarma
46,Orien Beiro,Openfarma
30,Cosmopolita,Farmagrup
31,Gran Gallo,Farmagrup
32,Gran Acoyte,Farmagrup
33,Gran Liniers,Farmagrup
34,Central Morón,Central Oeste
60,Avenida SCS,Central Oeste
61,Castelar SCS,Central Oeste
62,Cravena SCS,Central Oeste
63,Estación de Merlo SCS,Central Oeste
64,Farma Ace,Central Oeste
65,Funes SCS,Central Oeste
66,Haedo SCS,Central Oeste
67,Halpern SCS,Central Oeste
68,Ituzaingó SCS,Central Oeste
69,Leloir SCS,Central Oeste
70,Mareque SCS,Central Oeste
71,Moderna Farmacia SCS,Central Oeste
72,Morón SCS,Central Oeste
73,Noguera SCS,Central Oeste
74,Parati SCS,Central Oeste
75,Ramos SCS,Central Oeste
76,Rossi de Castelar SCS,Central Oeste
77,San Justo SCS,Central Oeste
78,San Miguel SCS,Central Oeste
79,Santa Rosa SCS,Central Oeste
262,Boticario SCS,Central Oeste
285,Ramos Mejia SCS,Central Oeste
47,América,TKL
390,Munro,TKL
392,Etcheverry,TKL
393,Ayacucho,TKL
394,Galesa,TKL
395,Naveira,TKL
396,Quintana,TKL
397,San Agustín,TKL
398,San Miguel,TKL
399,Tekiel,TKL
400,González,TKL
48,Farmacia Sorbas SCS,Grupo Mañas
49,Farmacia San Martin Center SCS,Grupo Mañas
50,Fcia Social Soyeb,Fcia Social Soyeb
51,Went,Farmacias RP
52,Osseg,Farmacias RP
53,Scannapieco,Farmacias RP
