point_of_sale_id,geo_zone,country
4,Buenos Aires,AR
5,Buenos Aires,AR
10,Buenos Aires,AR
11,Buenos Aires,AR
12,Buenos Aires,AR
13,Buenos Aires,AR
14,Buenos Aires,AR
15,Buenos Aires,AR
16,Buenos Aires,AR
17,Buenos Aires,AR
18,Buenos Aires,AR
19,Buenos Aires,AR
20,Buenos Aires Province,AR
21,Buenos Aires,AR
22,Buenos Aires,AR
23,Buenos Aires,AR
24,Buenos Aires,AR
25,Buenos Aires,AR
26,Buenos Aires,AR
27,CABA,AR
28,CABA,AR
29,Buenos Aires,AR
30,Buenos Aires,AR
31,Buenos Aires,AR
32,Buenos Aires,AR
33,Buenos Aires,AR
34,Provincia de Buenos Aires,AR
35,Provincia de Buenos Aires,AR
36,Provincia de Buenos Aires,AR
37,Buenos Aires,AR
38,Buenos Aires,AR
39,Provincia de Buenos Aires,AR
40,Buenos Aires,AR
41,Provincia de Buenos Aires,AR
42,Buenos Aires,AR
43,Provincia de Buenos Aires,AR
44,Buenos Aires,AR
45,Buenos Aires,AR
46,Buenos Aires,AR
47,Buenos Aires,AR
48,Provincia de Buenos Aires,AR
49,Provincia de Buenos Aires,AR
50,Provincia de Buenos Aires,AR
51,Buenos Aires,AR
52,Buenos Aires,AR
53,Buenos Aires,AR
54,Buenos Aires,AR
55,Buenos Aires,AR
56,Buenos Aires,AR
57,Buenos Aires,AR
58,Provincia de Buenos Aires,AR
59,Provincia de Buenos Aires,AR
60,Provincia de Buenos Aires,AR
61,Provincia de Buenos Aires,AR
62,Provincia de Buenos Aires,AR
63,Provincia de Buenos Aires,AR
64,Provincia de Buenos Aires,AR
65,Provincia de Buenos Aires,AR
66,Provincia de Buenos Aires,AR
67,Provincia de Buenos Aires,AR
68,Provincia de Buenos Aires,AR
69,Provincia de Buenos Aires,AR
70,Provincia de Buenos Aires,AR
71,Provincia de Buenos Aires,AR
72,Provincia de Buenos Aires,AR
73,Provincia de Buenos Aires,AR
74,Provincia de Buenos Aires,AR
