point_of_sale_id,drug_manufacturer_id,vendor_id,potencial_total,gasto_actual,status,valor_negocio,gasto_oportunidad,ahorro_total,client_name,pos_name,manufacturer_name
721,10267,1150,882.2246552,13221.23,1.0,0.4411123276,2369.38,1487.1553448,Santa Teresa,Oriente 229,Grupo Privarez
721,10269,1152,5022.94,17554.1,1.0,2.51147,9423.61,4400.670000000001,Santa Teresa,Oriente 229,Farmaceuticos Tenorio
721,10273,1156,8590.55,26825.99,1.0,4.295275,12476.619999999999,3886.0699999999997,Santa Teresa,Oriente 229,Almacen de Drogas
721,10276,1159,5383.2584,23999.21,1.0,2.6916292,9757.66,4374.4016,Santa Teresa,Oriente 229,Diefsa Distribuidora
721,10281,1164,4319.1,12632.33,,2.1595500000000003,8964.52,4645.42,Santa Teresa,Oriente 229,Farmadepot
721,10637,1309,3717.95,11669.69,,1.8589749999999998,8538.65,4820.7,Santa Teresa,Oriente 229,Medicinas Rosario
721,10738,1350,1677.74,18438.829999999998,,0.83887,4126.62,2448.88,Santa Teresa,Oriente 229,Pharmaceutix
721,10761,1358,1647.93976477,8458.53,1.0,0.823969882385,4225.53,2577.59023523,Santa Teresa,Oriente 229,Dilopsan
722,10267,1150,1023.42190696,15573.81,1.0,0.5117109534800001,3276.35,2252.92809304,Santa Teresa,Churubusco,Grupo Privarez
722,10269,1152,4251.48,18601.329999999998,1.0,2.12574,12987.98,8736.5,Santa Teresa,Churubusco,Farmaceuticos Tenorio
722,10273,1156,5196.54,28064.68,0.0,2.59827,13723.1,8526.560000000001,Santa Teresa,Churubusco,Almacen de Drogas
722,10276,1159,2649.3124,26062.34,1.0,1.3246562,6891.03,4241.7176,Santa Teresa,Churubusco,Diefsa Distribuidora
722,10281,1164,1623.2,10082.18,,0.8116,5131.41,3508.21,Santa Teresa,Churubusco,Farmadepot
722,10637,1309,3444.2400000000002,17063.12,1.0,1.7221200000000003,12362.98,8918.74,Santa Teresa,Churubusco,Medicinas Rosario
722,10738,1350,1405.87,25767.25,,0.702935,5746.97,4341.1,Santa Teresa,Churubusco,Pharmaceutix
722,10761,1358,1605.87828512,12751.77,1.0,0.8029391425600001,5920.29,4314.41171488,Santa Teresa,Churubusco,Dilopsan
724,10267,1150,250.7752192,9697.93,1.0,0.1253876096,1481.16,1230.3847808,Santa Teresa,Ramos Millán,Grupo Privarez
724,10269,1152,3328.85,13047.83,1.0,1.664425,6883.52,3554.6700000000005,Santa Teresa,Ramos Millán,Farmaceuticos Tenorio
724,10273,1156,3714.02,16662.01,0.0,1.85701,6187.93,2473.9100000000003,Santa Teresa,Ramos Millán,Almacen de Drogas
724,10276,1159,1963.6132,16134.49,1.0,0.9818066000000001,3517.2,1553.5867999999998,Santa Teresa,Ramos Millán,Diefsa Distribuidora
724,10281,1164,1589.6,5247.79,,0.7948,2928.5,1338.9,Santa Teresa,Ramos Millán,Farmadepot
724,10637,1309,2988.75,9563.65,,1.494375,7684.86,4696.11,Santa Teresa,Ramos Millán,Medicinas Rosario
724,10738,1350,1166.91,15745.32,,0.5834550000000001,3718.11,2551.2,Santa Teresa,Ramos Millán,Pharmaceutix
724,10761,1358,1472.47187511,7006.54,1.0,0.7362359375549999,4040.62,2568.14812489,Santa Teresa,Ramos Millán,Dilopsan
725,10267,1150,257.88652559999997,6441.94,1.0,0.12894326279999999,1135.3600000000001,877.4734744000002,Santa Teresa,Sur 4,Grupo Privarez
725,10269,1152,2068.86,8646.22,1.0,1.0344300000000002,4276.9,2208.0399999999995,Santa Teresa,Sur 4,Farmaceuticos Tenorio
725,10273,1156,5655.95,17775.99,0.0,2.8279750000000003,7270.18,1614.2300000000005,Santa Teresa,Sur 4,Almacen de Drogas
725,10276,1159,3180.8592,13889.15,1.0,1.5904296,4748.72,1567.8608000000004,Santa Teresa,Sur 4,Diefsa Distribuidora
725,10281,1164,1662.8,4364.28,,0.8314,3075.35,1412.55,Santa Teresa,Sur 4,Farmadepot
725,10637,1309,2133.64,6702.9,,1.0668199999999999,5093.57,2959.93,Santa Teresa,Sur 4,Medicinas Rosario
725,10738,1350,984.4399999999999,12200.88,,0.49221999999999994,2712.6,1728.1599999999999,Santa Teresa,Sur 4,Pharmaceutix
725,10761,1358,684.52682482,5147.33,1.0,0.34226341241,1980.44,1295.91317518,Santa Teresa,Sur 4,Dilopsan
1097,10267,1150,1068.00321336,26673.87,,0.53400160668,5495.22,4427.2167866400005,WeCare Pharma,Club Campestre,Grupo Privarez
1097,10269,1152,16040.619999999999,66714.35,1.0,8.02031,42256.56,26215.94,WeCare Pharma,Club Campestre,Farmaceuticos Tenorio
1097,10273,1156,82909.61,326093.5,,41.454805,153130.05,70220.43999999999,WeCare Pharma,Club Campestre,Almacen de Drogas
1097,10276,1159,24368.5492,115349.52,,12.184274600000002,65049.97,40681.4208,WeCare Pharma,Club Campestre,Diefsa Distribuidora
1097,10281,1164,7444.0,18914.07,,3.722,16128.73,8684.73,WeCare Pharma,Club Campestre,Farmadepot
1097,10637,1309,3861.46,23687.17,,1.93073,10783.56,6922.099999999999,WeCare Pharma,Club Campestre,Medicinas Rosario
1097,10738,1350,1606.99,55777.35,,0.8034950000000001,8394.34,6787.35,WeCare Pharma,Club Campestre,Pharmaceutix
1097,10761,1358,2760.66345543,13139.87,,1.380331727715,7378.34,4617.67654457,WeCare Pharma,Club Campestre,Dilopsan
1098,10267,1150,2087.2233844,10791.4,,1.0436116922,5295.77,3208.5466156,WeCare Pharma,Tezal,Grupo Privarez
1098,10269,1152,9384.86,25610.39,1.0,4.692430000000001,15968.3,6583.439999999999,WeCare Pharma,Tezal,Farmaceuticos Tenorio
1098,10273,1156,53858.59,114781.43,,26.929294999999996,78950.45,25091.86,WeCare Pharma,Tezal,Almacen de Drogas
1098,10276,1159,12165.1636,38585.2,,6.082581800000001,21924.53,9759.366399999999,WeCare Pharma,Tezal,Diefsa Distribuidora
1098,10281,1164,6517.0,16448.03,,3.2585,13290.66,6773.66,WeCare Pharma,Tezal,Farmadepot
1098,10637,1309,1808.6699999999998,6802.33,,0.904335,4992.85,3184.1800000000003,WeCare Pharma,Tezal,Medicinas Rosario
1098,10738,1350,2356.84,20341.73,,1.1784200000000002,6584.74,4227.9,WeCare Pharma,Tezal,Pharmaceutix
1098,10761,1358,1396.96126634,8402.67,,0.69848063317,4964.71,3567.7487336599997,WeCare Pharma,Tezal,Dilopsan
1099,10267,1150,143.92756576,850.25,,0.07196378288000001,334.47,190.54243424000003,WeCare Pharma,Altamirano,Grupo Privarez
1099,10269,1152,1845.0200000000002,2752.52,1.0,0.92251,1880.5400000000002,35.51999999999998,WeCare Pharma,Altamirano,Farmaceuticos Tenorio
1099,10273,1156,9225.01,21486.4,,4.612505,10461.46,1236.449999999999,WeCare Pharma,Altamirano,Almacen de Drogas
1099,10276,1159,2831.0263999999997,6596.32,,1.4155131999999997,4214.32,1383.2936,WeCare Pharma,Altamirano,Diefsa Distribuidora
1099,10281,1164,22.8,502.91999999999996,,0.011400000000000002,25.19,2.3900000000000006,WeCare Pharma,Altamirano,Farmadepot
1099,10637,1309,298.81,909.48,,0.149405,528.05,229.23999999999995,WeCare Pharma,Altamirano,Medicinas Rosario
1099,10738,1350,265.48,2596.03,,0.13274000000000002,898.32,632.84,WeCare Pharma,Altamirano,Pharmaceutix
1099,10761,1358,183.67012826,907.05,,0.09183506413,421.26,237.58987173999998,WeCare Pharma,Altamirano,Dilopsan
1100,10267,1150,50.042434,671.66,,0.025021217000000002,95.19,45.147566,WeCare Pharma,Mi Plaza,Grupo Privarez
1100,10269,1152,1089.51,4584.93,1.0,0.544755,1909.3600000000001,819.8500000000001,WeCare Pharma,Mi Plaza,Farmaceuticos Tenorio
1100,10273,1156,8112.3,25709.33,,4.056150000000001,9058.02,945.7200000000003,WeCare Pharma,Mi Plaza,Almacen de Drogas
1100,10276,1159,2950.9704,5156.85,,1.4754852,4507.85,1556.8796000000002,WeCare Pharma,Mi Plaza,Diefsa Distribuidora
1100,10281,1164,938.5,1545.98,,0.46925,1217.07,278.56999999999994,WeCare Pharma,Mi Plaza,Farmadepot
1100,10637,1309,179.83,597.44,,0.08991500000000001,224.08,44.25,WeCare Pharma,Mi Plaza,Medicinas Rosario
1100,10738,1350,998.94,4045.06,,0.49947,1780.63,781.69,WeCare Pharma,Mi Plaza,Pharmaceutix
1100,10761,1358,244.24666114000001,849.8100000000001,,0.12212333057000001,483.05,238.80333886,WeCare Pharma,Mi Plaza,Dilopsan
1101,10267,1150,1136.6569464,14697.98,,0.5683284732,5189.68,4053.0230536000004,WeCare Pharma,Universidad,Grupo Privarez
1101,10269,1152,31741.03,178370.05,1.0,15.870515000000001,131912.53,100171.5,WeCare Pharma,Universidad,Farmaceuticos Tenorio
1101,10273,1156,230566.33,1049320.69,,115.283165,667203.95,436637.62,WeCare Pharma,Universidad,Almacen de Drogas
1101,10276,1159,73729.2288,541954.78,,36.8646144,345069.29,271340.0612,WeCare Pharma,Universidad,Diefsa Distribuidora
1101,10281,1164,18286.2,73808.73,,9.1431,61430.78,43144.58,WeCare Pharma,Universidad,Farmadepot
1101,10637,1309,1325.52,6863.65,,0.66276,3727.79,2402.27,WeCare Pharma,Universidad,Medicinas Rosario
1101,10738,1350,2200.0499999999997,71138.09,,1.1000249999999998,7565.77,5365.720000000001,WeCare Pharma,Universidad,Pharmaceutix
1101,10761,1358,878.05964486,25285.49,,0.43902982243000005,20381.26,19503.200355139998,WeCare Pharma,Universidad,Dilopsan
1102,10267,1150,1759.0619237600001,18109.62,,0.87953096188,3390.53,1631.46807624,WeCare Pharma,Zákia,Grupo Privarez
