point_of_sale_id,client_id,super_catalog_id,descripción_x,order_id,order_date,droguería,unidades_pedidas,precio_minimo,valor_vendedor,geo_zone,vendor_id,descripción_y,name,base_price,percentage,precio_vendedor,precio_total_vendedor,status,valor_total_vendedor
2432,1447,7841141003733,PRIKUL 150 MG 28 COMPRIMIDOS,358169,2025-10-13 22:36:00,12,1.0,1001.87,1001.87,Baja California,1156,PRIKUL PREGABALINA 28CAP 150MG,México,958.73,0.0,958.73,958.73,0.0,958.73
1446,492,7506022328397,DIMETHYPER,363298,2025-10-22 23:54:04,20,7.0,149.86,1049.02,Baja California,1150,DIMETHYPER 1 AMP 1 G,México,114.9183,-0.05,114.86084085,804.02588595,,804.02588595
2432,1447,7501349022119,ACIDO ASCORBICO,363958,2025-10-23 23:55:35,224,3.0,201.91,605.73,Baja California,1358,ACIDO ASCORBICO C/6 AMP. 1 GR.,México,195.83,0.0455,195.91910265,587.75730795,1.0,587.75730795
1446,492,7501089800077,ATEMPERATOR S,357154,2025-10-11 00:00:12,11,2.0,323.89,647.78,Baja California,1164,ATEMPERATOR S SUSP 100ML,México,239.0375,0.0,239.0375,478.075,,478.075
2432,1447,7501384546847,BETAHISTINA,358237,2025-10-13 23:28:34,11,2.0,129.71,259.42,Baja California,1161,BETAHISTINA 24MG TABLETAS  C/30 (PSICOFARMA),México,121.6625,0.0,121.6625,243.325,,243.325
1446,492,7501165002920,MELOX MTA PLUS,357154,2025-10-11 00:00:12,11,2.0,99.02,198.04,Baja California,1156,MELOX PLUS MTA 30 TABS,México,91.1,0.0,91.1,182.2,,182.2
2432,1447,75055813,LATANOPROST,358237,2025-10-13 23:28:34,20,1.0,135.69,135.69,Baja California,1309,LATANOPROST EXAKTA Solucion Oftalmica - 3 ml,México,133.74,0.0,133.74,133.74,,133.74
2666,1447,7506442700766,OLMESARTAN MEDOXOMILO,358299,2025-10-14 00:49:09,224,1.0,118.34,118.34,Baja California,1358,OLMESARTAN C/28 TABS. 20 MG.,México,114.17,0.0455,114.22194735000001,114.22194735000001,1.0,114.22194735000001
1446,492,7502253600486,FOTOSUN UV 100 FPS 50+,365624,2025-10-27 23:33:47,20,1.0,100.8,100.8,Baja California,1309,PROTECTOR SOLAR FOTOSUN UV 100 FACIAL Y CORPORAL Crema - 125 ml,México,100.16,0.0,100.16,100.16,,100.16
2432,1447,7501349028487,PENTOXIFILINA,363958,2025-10-23 23:55:35,20,2.0,51.73,103.46,Baja California,1309,PENTOXIFILINA AMSA Tabletas LP - c/30,México,48.89,0.0,48.89,97.78,,97.78
2432,1447,7501573909903,DOCSI,363958,2025-10-23 23:55:35,20,4.0,15.29,61.16,Baja California,1358,DOCSI JARABE FCO. 120 ML. 50 MG/100 ML.,México,10.82,0.0455,10.8249231,43.2996924,1.0,43.2996924
1446,492,7501048332977,ALCOHOL DESNAT PROTECT,365624,2025-10-27 23:33:47,11,5.0,12.09,60.45,Baja California,1161,ALCOHOL PROTEC 70% DESNATURALIZADO C/110 ML,México,8.4625,0.0,8.4625,42.3125,,42.3125
1446,492,7501075717518,F-EXINA,355736,2025-10-08 00:36:13,20,2.0,33.81,67.62,Baja California,1358,F-EXINA C/20 TABS. 20 MG.,México,16.06,0.0455,16.0673073,32.1346146,,32.1346146
